X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
115.765529,-31.7394459999999,6640,Shenton Av,East of Joondalup Dr,2024/25,17509,18602,14823,4.2,4.5,3.3,No,131,Joondalup (C),7,Metropolitan,7318589,{62772EF6-8BCC-4809-BD11-05C06B822D03}
115.92479,-31.859879,6726,Beechboro Rd North,North of Reid Hwy,2024/25,14923,15376,12820,3.7,4.4,2.4,No,109,Swan (C),7,Metropolitan,7316746,{7746FDA5-06A5-466C-A22D-25086741FEAB}
115.715847,-31.6742659999999,6747,Hester Av,East of Marmion Av,2024/25,16574,17487,14594,4.3,4.7,2.3,No,110,Wanneroo (C),7,Metropolitan,7316761,{4B96BCEF-7A72-41BA-9CE2-4B32F2C8D683}
115.742117,-31.723282,6786,Connolly Dr,North of Burns Beach Rd,2023/24,17048,17990,14549,3.5,3.9,2.6,No,131,Joondalup (C),7,Metropolitan,7316775,{9A3FB21A-6146-42A2-9B80-9835E9E7E326}
116.033172,-31.664116,6846,Chittering Rd,East of Great Northern Hwy,2024/25,7196,7544,6231,7.7,8.4,6.3,No,109,Swan (C),7,Metropolitan,7316790,{BA53A83B-722D-4421-8213-1F34E9BD00DC}
115.848414,-32.2096589999999,7003,Anketell Rd,West of Kwinana Fwy,2023/24,18972,22122,12831,15.2,17.2,9.6,No,105,Kwinana (C),7,Metropolitan,7316811,{D991B7D8-DFAA-4172-9741-F381CFEF1359}
115.816397,-32.096895,7038,North Lake Rd,South of Phoenix Rd,2023/24,27480,30104,20892,9.6,11,5.4,No,103,Cockburn (C),7,Metropolitan,7316826,{C44BA388-E5DF-4119-A935-EC4F2ABABA95}
115.774475,-32.407341,7104,Mandurah Rd,North of Dampier Rd,2020/21,23353,25278,18797,8.8,9.8,6.7,No,107,Rockingham (C),7,Metropolitan,7316844,{37C618B0-1D5F-4778-B7DB-FC4255A135AF}
115.804559,-32.329689,7128,Eighty Rd,South of Safety Bay Rd,2020/21,2394,2661,1759,7.9,8.3,7,No,107,Rockingham (C),7,Metropolitan,7316855,{63949931-99F0-433D-A245-DC650A6A17CF}
115.891702,-31.951362,7643,Victoria Park Dr,South of Graham Farmer Fwy,2021/22,11882,11036,12790,3.7,4.3,2.7,No,129,Victoria Park (T),7,Metropolitan,7316873,{3D58D045-81BF-4209-88EF-63F9015E1DA7}
116.04862,-31.8548979999999,7700,Toodyay Rd,West of Campersic Rd,2023/24,11752,12301,10200,9,11.1,4.2,No,109,Swan (C),7,Metropolitan,7316888,{12A741D2-1B65-4EBF-ABAB-C67573CD747D}
115.974317,-31.882652,7728,West Swan Rd,North of Harper St,2023/24,15473,16720,12450,4.4,5.2,2.4,No,109,Swan (C),7,Metropolitan,7316899,{4B623C1D-CBD4-4631-A0D6-5BEA26747E88}
115.953622,-31.9954499999999,7748,Orrong Rd,West of Kurnall Rd,2023/24,26016,28582,19680,12.7,15.3,6,No,114,Canning (C),7,Metropolitan,7316910,{0454E136-9B50-4B41-9A06-33F645A782ED}
115.778018,-31.9545429999999,7765,Stephenson Av,North of Montgomery Av,2023/24,11266,11762,9775,4.5,5.1,3.4,No,122,Nedlands (C),7,Metropolitan,7316920,{C1C2B4CA-59F9-4005-880B-5D09E1D620B5}
115.81628,-31.956333,7784,Nicholson Rd (Subiaco),East of Derby Rd,2023/24,8254,8824,6670,4.5,5.5,2.2,No,127,Subiaco (C),7,Metropolitan,7316930,{9DF09753-4C9F-43CC-B74F-7668A55DF13A}
115.748158,-31.8076829999999,7800,Flinders Av,East of Murray Dr,2023/24,4617,4517,4638,1.9,2.3,1,No,131,Joondalup (C),7,Metropolitan,7316940,{AE60B5F7-EF41-4E71-9B6D-E0F09A12BDFD}
116.012992,-31.7817279999999,7974,Millhouse Rd,North of West Swan Rd,2020/21,8940,9712,7542,9.2,10,8.3,No,109,Swan (C),7,Metropolitan,7316951,{CC1405DE-87CA-47B7-B1BD-BB092DF9953E}
115.85578,-32.255232,8229,Mortimer Rd,East of Kwinana Fwy,2023/24,6513,6859,5615,5.5,5.9,4.2,No,105,Kwinana (C),7,Metropolitan,7316976,{077FF80E-8890-45DE-B23D-F29E11ABC6DA}
115.786138,-32.2178719999999,8275,Rockingham Rd,South of Anketell Rd,2023/24,33351,39203,19842,10.5,11.3,7.3,No,105,Kwinana (C),7,Metropolitan,7316995,{23EF5A68-ED16-4633-8293-A68476CC1F88}
115.775371,-31.756096,8326,Lakeside Dr,East of Joondalup Dr (South),2021/22,7978,8977,5673,5.3,5.8,4.1,No,131,Joondalup (C),7,Metropolitan,7317009,{2FC48E59-F06E-4E4B-A0C3-D0F76FEB4948}
115.849827,-31.9454919999999,8366,Mitchell Fwy (Northbound) off to Charles St,NB S of Graham Farmer Fwy (Eastbound) On Ramp,2021/22,28490,29117,25731,6.6,7.7,4.1,No,124,Perth (C),7,Metropolitan,7317022,{88F1805E-D35B-43C9-95E5-91734AD9B1A0}
115.662279,-31.474549,8417,Breakwater Dr,West of Wanneroo Rd,2023/24,1838,1905,1638,8,9.1,5.4,No,110,Wanneroo (C),7,Metropolitan,7317034,{20CEF0F9-BFCA-4942-BA2D-8A19F67FDA20}
115.744884,-31.7277129999999,8430,Connolly Dr,South of Burns Beach Rd,2024/25,10458,11448,8021,1.8,1.9,1.4,No,131,Joondalup (C),7,Metropolitan,7317044,{A62793EE-3CAA-4698-BC94-628DD79E08E2}
